"job_title_short","top_5_skills","avg_hourly","avg_yearly","total_job_offers","remote_jobs","on_site_jobs"
"Business Analyst","sql, excel, tableau, power bi, python","44","90200","49160","2786","46303"
"Cloud Engineer","python, aws, azure, sql, linux","52","107239","49160","2786","46303"
"Data Analyst","sql, excel, python, tableau, power bi","43","87620","196593","13331","182989"
"Data Engineer","sql, python, aws, azure, spark","61","126502","186679","21261","165178"
"Data Scientist","python, sql, r, sas, tableau","61","125878","172726","14534","157976"
"Machine Learning Engineer","python, pytorch, tensorflow, aws, sql","61","124858","14106","1480","12607"
"Senior Data Analyst","sql, python, tableau, excel, r","54","110396","29289","2352","26889"
"Senior Data Engineer","python, sql, aws, azure, spark","69","142585","44692","6564","38048"
"Senior Data Scientist","python, sql, r, aws, spark","71","147354","37076","3809","33207"
"Software Engineer","python, sql, aws, java, azure","53","109805","45019","2918","42066"